flight_number,scheduled_departure_date_local,scheduled_departure_datetime_local,scheduled_departure_station_code,scheduled_arrival_station_code,fleet_type,carrier,difficulty_score,difficulty_category,passengers,total_seats,load_factor,total_bags,checked_bags,transfer_bags,hot_transfer_bags,special_service_requests,scheduled_ground_time_minutes,minimum_turn_minutes,ground_buffer
4481,2025-08-15,2025-08-15T07:00:00Z,ORD,GRR,CRJ-550,Express,44.0,Medium,41,50,82.0,83,0,37,9,0.0,644,29,615
5108,2025-08-14,2025-08-14T16:45:00Z,ORD,SLN,CRJ-200,Express,37.0,Medium-Low,47,50,94.0,85,23,18,3,0.0,85,29,56
3568,2025-08-15,2025-08-15T10:50:00Z,ORD,YYZ,ERJ-175,Express,38.0,Medium-Low,83,76,109.2,96,27,19,4,0.0,75,42,33
4739,2025-08-03,2025-08-03T15:35:00Z,ORD,GRB,CRJ-200,Express,50.0,Medium,61,50,122.0,113,17,35,9,0.0,69,29,40
664,2025-08-02,2025-08-02T16:00:00Z,ORD,LGA,B737-800,Mainline,44.0,Medium,198,166,119.3,188,65,29,0,0.0,400,51,349
5517,2025-08-04,2025-08-04T18:15:00Z,ORD,PVD,ERJ-175,Express,35.0,Medium-Low,78,76,102.6,91,13,32,1,0.0,87,34,53
1156,2025-08-08,2025-08-08T19:55:00Z,ORD,MSY,B737-900,Mainline,66.0,Medium-High,215,179,120.1,249,43,78,7,0.0,62,56,6
4387,2025-08-06,2025-08-06T09:20:00Z,ORD,CID,CRJ-550,Express,52.0,Medium,67,50,134.0,84,4,38,0,0.0,75,29,46
1361,2025-08-11,2025-08-11T21:20:00Z,ORD,STL,A319-100,Mainline,62.0,Medium-High,137,126,108.7,219,4,94,23,0.0,60,43,17
2323,2025-08-03,2025-08-03T09:15:00Z,ORD,MCO,A321-2NX,Mainline,48.0,Medium,297,200,148.5,342,144,27,0,0.0,97,62,35
5229,2025-08-13,2025-08-13T11:59:00Z,ORD,ILM,ERJ-175,Express,36.0,Medium-Low,62,76,81.6,47,12,11,1,0.0,47,34,13
3700,2025-08-02,2025-08-02T07:25:00Z,ORD,BNA,ERJ-175,Express,63.0,Medium-High,80,76,105.3,103,21,29,3,0.0,5,34,-29
4610,2025-08-15,2025-08-15T12:41:00Z,ORD,XNA,CRJ-550,Express,41.0,Medium,52,50,104.0,62,5,23,6,0.0,59,29,30
1414,2025-08-13,2025-08-13T08:45:00Z,ORD,BOI,A320-200,Mainline,52.0,Medium,158,150,105.3,206,29,63,22,0.0,59,46,13
1156,2025-08-13,2025-08-13T19:55:00Z,ORD,MSY,B737-MAX9,Mainline,36.0,Medium-Low,72,179,40.2,102,20,28,6,0.0,73,56,17
247,2025-08-13,2025-08-13T12:45:00Z,ORD,OMA,A320-200,Mainline,39.0,Medium-Low,114,150,76.0,139,10,51,17,0.0,69,46,23
2378,2025-08-08,2025-08-08T21:42:00Z,ORD,LAX,A321-2NX,Mainline,58.0,Medium,238,200,119.0,312,50,106,0,0.0,77,62,15
5930,2025-08-14,2025-08-14T13:20:00Z,ORD,FAR,CRJ-200,Express,47.0,Medium,53,50,106.0,95,25,22,1,0.0,205,29,176
3628,2025-08-11,2025-08-11T17:50:00Z,ORD,IND,ERJ-175,Express,53.0,Medium,76,76,100.0,144,30,35,14,0.0,45,34,11
5564,2025-08-01,2025-08-01T14:20:00Z,ORD,SBN,CRJ-550,Express,43.0,Medium,55,50,110.0,74,1,35,2,0.0,57,29,28
2361,2025-08-13,2025-08-13T07:10:00Z,ORD,LAX,B757-300,Mainline,36.0,Medium-Low,143,234,61.1,221,55,47,17,0.0,662,66,596
3520,2025-08-05,2025-08-05T21:16:00Z,ORD,CVG,ERJ-175,Express,42.0,Medium,71,76,93.4,78,3,28,16,0.0,162,34,128
4546,2025-08-06,2025-08-06T18:35:00Z,ORD,AVP,CRJ-550,Express,69.0,Medium-High,46,50,92.0,56,8,20,0,0.0,-5,29,-34
5362,2025-08-14,2025-08-14T21:40:00Z,ORD,MKE,CRJ-200,Express,50.0,Medium,60,50,120.0,110,17,38,0,0.0,90,29,61
5251,2025-08-03,2025-08-03T19:35:00Z,ORD,ASE,ERJ-175,Express,48.0,Medium,73,70,104.3,129,30,28,13,0.0,68,34,34
4429,2025-08-07,2025-08-07T15:52:00Z,ORD,FSD,CRJ-550,Express,37.0,Medium-Low,50,50,100.0,51,3,21,3,0.0,57,29,28
1899,2025-08-01,2025-08-01T20:05:00Z,ORD,YYC,A319-100,Mainline,59.0,Medium,178,126,141.3,180,51,38,2,0.0,70,52,18
2137,2025-08-03,2025-08-03T09:02:00Z,ORD,SLC,B737-800,Mainline,52.0,Medium,180,166,108.4,190,31,58,12,0.0,68,51,17
1576,2025-08-10,2025-08-10T20:00:00Z,ORD,LGA,B737-800,Mainline,33.0,Medium-Low,170,166,102.4,100,37,13,0,0.0,80,51,29
2004,2025-08-11,2025-08-11T13:45:00Z,ORD,SYR,A320-200,Mainline,50.0,Medium,171,150,114.0,220,19,82,18,0.0,84,46,38
343,2025-08-02,2025-08-02T10:53:00Z,ORD,SFO,A321-2NX,Mainline,48.0,Medium,274,200,137.0,256,94,34,0,0.0,1079,62,1017
2370,2025-08-11,2025-08-11T14:28:00Z,ORD,BOS,B737-900,Mainline,36.0,Medium-Low,201,179,112.3,265,75,57,1,0.0,79,56,23
2189,2025-08-01,2025-08-01T13:00:00Z,ORD,LGA,B737-MAX8,Mainline,33.0,Medium-Low,186,166,112.0,128,56,7,2,0.0,96,60,36
481,2025-08-12,2025-08-12T19:52:00Z,ORD,RNO,B737-700,Mainline,40.0,Medium-Low,77,126,61.1,149,23,51,1,0.0,95,43,52
1209,2025-08-15,2025-08-15T21:25:00Z,ORD,EWR,B737-900,Mainline,57.0,Medium,218,179,121.8,263,51,71,19,0.0,67,56,11
2177,2025-08-15,2025-08-15T14:00:00Z,ORD,MSN,A319-100,Mainline,78.0,Medium-High,138,126,109.5,193,0,86,21,0.0,9,43,-34
909,2025-08-13,2025-08-13T18:15:00Z,ORD,AMS,B787-8,Mainline,57.0,Medium,262,243,107.8,440,97,123,0,0.0,280,95,185
1584,2025-08-05,2025-08-05T10:50:00Z,ORD,LAX,A321-2NX,Mainline,41.0,Medium,265,200,132.5,318,146,13,0,0.0,711,62,649
3690,2025-08-13,2025-08-13T15:40:00Z,ORD,IND,ERJ-175,Express,39.0,Medium-Low,68,76,89.5,109,13,39,5,0.0,57,34,23
3542,2025-08-15,2025-08-15T17:58:00Z,ORD,YUL,ERJ-175,Express,45.0,Medium,83,76,109.2,114,22,34,2,0.0,53,42,11
4791,2025-08-14,2025-08-14T10:35:00Z,ORD,SBN,CRJ-550,Express,48.0,Medium,59,50,118.0,65,1,25,13,0.0,56,29,27
2011,2025-08-11,2025-08-11T08:48:00Z,ORD,YVR,A320-200,Mainline,66.0,Medium-High,162,150,108.0,290,53,84,16,0.0,67,60,7
1946,2025-08-15,2025-08-15T15:00:00Z,ORD,LGA,B737-MAX8,Mainline,33.0,Medium-Low,196,166,118.1,117,46,12,1,0.0,105,51,54
5292,2025-08-02,2025-08-02T08:45:00Z,ORD,MTY,ERJ-175,Express,39.0,Medium-Low,87,76,114.5,122,47,12,4,0.0,756,42,714
845,2025-08-12,2025-08-12T21:20:00Z,ORD,GRU,B787-10,Mainline,54.0,Medium,260,318,81.8,660,72,244,28,0.0,300,155,145
3525,2025-08-13,2025-08-13T16:43:00Z,ORD,YYZ,ERJ-175,Express,48.0,Medium,90,76,118.4,98,21,26,4,0.0,58,42,16
2677,2025-08-06,2025-08-06T17:56:00Z,ORD,IAD,B757-200,Mainline,47.0,Medium,160,176,90.9,159,38,38,7,0.0,231,122,109
767,2025-08-13,2025-08-13T21:32:00Z,ORD,DEN,A321-2NX,Mainline,73.0,Medium-High,202,200,101.0,158,24,55,0,0.0,22,62,-40
5026,2025-08-13,2025-08-13T21:05:00Z,ORD,JST,CRJ-200,Express,58.0,Medium,53,50,106.0,84,13,23,12,0.0,40,29,11
5493,2025-08-05,2025-08-05T11:05:00Z,ORD,ATW,CRJ-200,Express,38.0,Medium-Low,53,50,106.0,107,25,28,1,0.0,106,29,77
4519,2025-08-06,2025-08-06T18:20:00Z,ORD,SCE,CRJ-550,Express,33.0,Medium-Low,43,50,86.0,30,3,12,0,0.0,70,29,41
4791,2025-08-04,2025-08-04T10:35:00Z,ORD,SBN,CRJ-550,Express,43.0,Medium,45,50,90.0,58,1,23,10,0.0,56,29,27
592,2025-08-03,2025-08-03T16:50:00Z,ORD,JAC,B737-700,Mainline,57.0,Medium,161,126,127.8,231,41,71,7,0.0,57,43,14
4590,2025-08-01,2025-08-01T16:45:00Z,ORD,MDT,CRJ-550,Express,46.0,Medium,55,50,110.0,55,4,22,3,0.0,42,29,13
3464,2025-08-13,2025-08-13T21:15:00Z,ORD,PIT,ERJ-175,Express,50.0,Medium,76,76,100.0,102,10,36,10,0.0,142,39,103
5963,2025-08-14,2025-08-14T14:09:00Z,ORD,BDL,ERJ-175,Express,43.0,Medium,74,70,105.7,96,18,28,4,0.0,59,34,25
5447,2025-08-10,2025-08-10T11:05:00Z,ORD,PVD,ERJ-175,Express,43.0,Medium,67,70,95.7,92,15,31,0,0.0,71,34,37
1495,2025-08-05,2025-08-05T19:52:00Z,ORD,TVC,A320-200,Mainline,38.0,Medium-Low,74,150,49.3,49,4,17,7,0.0,57,46,11
2100,2025-08-08,2025-08-08T13:11:00Z,ORD,SLC,B737-800,Mainline,50.0,Medium,191,166,115.1,226,45,65,6,0.0,68,51,17
2640,2025-08-05,2025-08-05T15:00:00Z,ORD,DCA,B737-700,Mainline,23.0,Medium-Low,59,126,46.8,54,17,10,0,0.0,119,51,68
224,2025-08-01,2025-08-01T09:04:00Z,ORD,BZN,B737-800,Mainline,49.0,Medium,196,166,118.1,268,67,62,10,0.0,206,60,146
5392,2025-08-15,2025-08-15T19:36:00Z,ORD,OKC,ERJ-175,Express,45.0,Medium,70,76,92.1,107,9,39,11,0.0,165,39,126
5984,2025-08-05,2025-08-05T09:20:00Z,ORD,BIL,ERJ-175,Express,52.0,Medium,100,76,131.6,78,7,32,0,0.0,78,34,44
5737,2025-08-13,2025-08-13T21:12:00Z,ORD,OMA,ERJ-175,Express,41.0,Medium,50,76,65.8,53,1,24,3,0.0,47,34,13
4552,2025-08-03,2025-08-03T21:30:00Z,ORD,DAY,CRJ-550,Express,44.0,Medium,44,50,88.0,64,0,32,0,0.0,74,29,45
4476,2025-08-07,2025-08-07T13:55:00Z,ORD,CAE,CRJ-550,Express,47.0,Medium,55,50,110.0,92,35,10,2,0.0,110,29,81
4482,2025-08-02,2025-08-02T15:35:00Z,ORD,TUL,CRJ-550,Express,50.0,Medium,52,50,104.0,96,4,42,4,0.0,40,29,11
5557,2025-08-12,2025-08-12T09:15:00Z,ORD,OKC,ERJ-175,Express,43.0,Medium,81,76,106.6,87,12,30,3,0.0,73,34,39
2683,2025-08-11,2025-08-11T14:06:00Z,ORD,SAN,B737-800,Mainline,38.0,Medium-Low,188,166,113.3,193,67,27,5,0.0,95,51,44
5557,2025-08-13,2025-08-13T09:15:00Z,ORD,OKC,ERJ-175,Express,45.0,Medium,86,76,113.2,121,6,51,7,0.0,73,34,39
3716,2025-08-13,2025-08-13T18:20:00Z,ORD,CMH,ERJ-175,Express,56.0,Medium,84,76,110.5,108,21,33,0,0.0,47,34,13
1616,2025-08-04,2025-08-04T18:20:00Z,ORD,GRR,B737-900,Mainline,44.0,Medium,161,179,89.9,194,8,89,0,0.0,88,56,32
3440,2025-08-15,2025-08-15T07:04:00Z,ORD,YYZ,ERJ-175,Express,35.0,Medium-Low,72,76,94.7,89,22,21,3,0.0,539,42,497
5836,2025-08-10,2025-08-10T10:35:00Z,ORD,TYS,CRJ-550,Express,54.0,Medium,53,50,106.0,68,15,18,2,0.0,45,29,16
5493,2025-08-06,2025-08-06T11:05:00Z,ORD,ATW,CRJ-200,Express,47.0,Medium,54,50,108.0,98,18,31,0,0.0,104,29,75
1775,2025-08-10,2025-08-10T10:45:00Z,ORD,FLL,B737-MAX9,Mainline,48.0,Medium,246,179,137.4,207,71,31,3,0.0,75,56,19
2653,2025-08-05,2025-08-05T10:52:00Z,ORD,RDU,B737-MAX9,Mainline,44.0,Medium,187,179,104.5,211,55,49,3,0.0,69,56,13
4552,2025-08-15,2025-08-15T21:30:00Z,ORD,DAY,CRJ-550,Express,37.0,Medium-Low,41,50,82.0,36,2,16,0,0.0,79,29,50
1599,2025-08-11,2025-08-11T08:45:00Z,ORD,DEN,B777-2HD,Mainline,45.0,Medium,432,364,118.7,507,173,71,19,0.0,186,93,93
2666,2025-08-07,2025-08-07T05:00:00Z,ORD,DEN,A321-2NX,Mainline,46.0,Medium,236,200,118.0,290,90,55,0,0.0,470,62,408
3536,2025-08-11,2025-08-11T07:15:00Z,ORD,YUL,ERJ-175,Express,34.0,Medium-Low,67,76,88.2,99,16,33,1,0.0,735,42,693
3409,2025-08-07,2025-08-07T13:56:00Z,ORD,YOW,ERJ-175,Express,58.0,Medium,83,76,109.2,115,22,32,7,0.0,50,42,8
4590,2025-08-14,2025-08-14T16:45:00Z,ORD,MDT,CRJ-550,Express,79.0,Medium-High,60,50,120.0,101,16,28,13,0.0,-20,29,-49
763,2025-08-01,2025-08-01T10:58:00Z,ORD,PWM,B737-800,Mainline,41.0,Medium,232,166,139.8,207,71,31,3,0.0,79,51,28
2195,2025-08-08,2025-08-08T11:06:00Z,ORD,BDL,B737-800,Mainline,42.0,Medium,156,166,94.0,126,25,36,4,0.0,63,51,12
1989,2025-08-12,2025-08-12T18:20:00Z,ORD,BOS,B737-900,Mainline,60.0,Medium,172,179,96.1,168,26,58,0,0.0,70,56,14
5930,2025-08-10,2025-08-10T13:20:00Z,ORD,FAR,CRJ-200,Express,38.0,Medium-Low,49,50,98.0,96,29,18,2,0.0,107,29,78
1793,2025-08-12,2025-08-12T08:50:00Z,ORD,MSP,A320-200,Mainline,40.0,Medium-Low,134,150,89.3,69,20,13,3,0.0,78,46,32
2677,2025-08-05,2025-08-05T17:56:00Z,ORD,IAD,B757-200,Mainline,48.0,Medium,204,176,115.9,343,62,89,41,0.0,246,122,124
5521,2025-08-01,2025-08-01T15:35:00Z,ORD,ATW,CRJ-200,Express,75.0,Medium-High,47,50,94.0,106,20,28,10,0.0,-28,29,-57
2487,2025-08-15,2025-08-15T21:23:00Z,ORD,PHL,B737-900,Mainline,61.0,Medium-High,99,179,55.3,104,12,37,6,0.0,3,56,-53
3614,2025-08-09,2025-08-09T21:25:00Z,ORD,MCI,ERJ-175,Express,45.0,Medium,99,76,130.3,111,4,51,1,0.0,95,34,61
3708,2025-08-15,2025-08-15T12:45:00Z,ORD,BNA,ERJ-170,Express,57.0,Medium,70,70,100.0,84,23,14,10,0.0,40,34,6
1657,2025-08-08,2025-08-08T07:00:00Z,ORD,LGA,B737-800,Mainline,42.0,Medium,190,166,114.5,148,52,17,10,0.0,835,51,784
5915,2025-08-10,2025-08-10T16:50:00Z,ORD,LNK,CRJ-200,Express,56.0,Medium,56,50,112.0,98,31,17,2,0.0,43,29,14
5790,2025-08-01,2025-08-01T18:20:00Z,ORD,CRW,CRJ-200,Express,68.0,Medium-High,54,50,108.0,93,18,28,1,0.0,-7,29,-36
2427,2025-08-12,2025-08-12T18:10:00Z,ORD,CVG,B737-700,Mainline,39.0,Medium-Low,88,126,69.8,76,9,29,0,0.0,79,43,36
265,2025-08-15,2025-08-15T17:55:00Z,ORD,YYZ,A319-100,Mainline,45.0,Medium,109,126,86.5,106,18,32,6,0.0,69,52,17
1996,2025-08-08,2025-08-08T08:49:00Z,ORD,SJU,A321-2NX,Mainline,40.0,Medium-Low,223,200,111.5,248,72,49,6,0.0,204,68,136
5229,2025-08-14,2025-08-14T11:59:00Z,ORD,ILM,ERJ-175,Express,49.0,Medium,76,76,100.0,87,16,27,1,0.0,39,34,5
1361,2025-08-13,2025-08-13T21:20:00Z,ORD,STL,A319-100,Mainline,43.0,Medium,137,126,108.7,188,21,71,4,0.0,69,43,26
1030,2025-08-09,2025-08-09T19:35:00Z,ORD,ABQ,A319-100,Mainline,53.0,Medium,133,126,105.6,216,27,78,6,0.0,78,43,35
5020,2025-08-03,2025-08-03T12:30:00Z,ORD,FOD,CRJ-200,Express,26.0,Medium-Low,30,50,60.0,26,6,7,0,0.0,60,29,31
3718,2025-08-10,2025-08-10T09:02:00Z,ORD,MSN,ERJ-175,Express,37.0,Medium-Low,76,76,100.0,115,7,50,1,0.0,63,39,24
5538,2025-08-09,2025-08-09T18:25:00Z,ORD,HSV,CRJ-550,Express,30.0,Medium-Low,20,50,40.0,44,6,16,0,0.0,94,29,65
1778,2025-08-10,2025-08-10T08:45:00Z,ORD,OMA,A319-100,Mainline,58.0,Medium,144,126,114.3,175,10,62,31,0.0,62,43,19
2137,2025-08-07,2025-08-07T09:02:00Z,ORD,SLC,B737-800,Mainline,43.0,Medium,228,166,137.3,176,42,44,4,0.0,957,51,906
2137,2025-08-13,2025-08-13T09:02:00Z,ORD,SLC,B737-800,Mainline,48.0,Medium,163,166,98.2,221,74,35,3,0.0,68,51,17
2427,2025-08-05,2025-08-05T18:10:00Z,ORD,CVG,B737-700,Mainline,38.0,Medium-Low,107,126,84.9,127,10,50,7,0.0,84,43,41
4482,2025-08-11,2025-08-11T15:35:00Z,ORD,TUL,CRJ-550,Express,59.0,Medium,41,50,82.0,57,2,25,3,0.0,-36,29,-65
1304,2025-08-05,2025-08-05T11:29:00Z,ORD,LAS,B737-MAX9,Mainline,65.0,Medium-High,199,179,111.2,261,80,48,5,0.0,18,56,-38
5250,2025-08-15,2025-08-15T17:50:00Z,ORD,BNA,ERJ-175,Express,36.0,Medium-Low,74,76,97.4,83,10,30,3,0.0,65,34,31
2666,2025-08-10,2025-08-10T05:00:00Z,ORD,DEN,A321-2NX,Mainline,42.0,Medium,251,200,125.5,246,101,22,0,0.0,515,62,453
5568,2025-08-02,2025-08-02T09:07:00Z,ORD,MLI,CRJ-200,Express,47.0,Medium,47,50,94.0,124,11,51,0,0.0,72,29,43
5849,2025-08-09,2025-08-09T13:55:00Z,ORD,PWM,ERJ-175,Express,46.0,Medium,88,76,115.8,112,24,27,10,0.0,117,34,83
763,2025-08-12,2025-08-12T10:58:00Z,ORD,PWM,B737-800,Mainline,47.0,Medium,218,166,131.3,208,63,41,0,0.0,209,51,158
3465,2025-08-05,2025-08-05T17:55:00Z,ORD,GSP,ERJ-175,Express,54.0,Medium,81,76,106.6,166,18,56,18,0.0,64,34,30
476,2025-08-07,2025-08-07T10:53:00Z,ORD,CVG,A320-200,Mainline,40.0,Medium-Low,135,150,90.0,145,26,46,1,0.0,66,46,20
2254,2025-08-08,2025-08-08T09:10:00Z,ORD,PDX,A321-2NX,Mainline,47.0,Medium,251,200,125.5,200,41,59,0,0.0,535,62,473
2427,2025-08-15,2025-08-15T18:10:00Z,ORD,CVG,B737-700,Mainline,38.0,Medium-Low,77,126,61.1,82,5,35,2,0.0,71,43,28
1491,2025-08-03,2025-08-03T10:35:00Z,ORD,DFW,A320-200,Mainline,43.0,Medium,168,150,112.0,211,71,30,9,0.0,159,46,113
3628,2025-08-04,2025-08-04T17:50:00Z,ORD,IND,ERJ-175,Express,44.0,Medium,76,76,100.0,121,25,31,9,0.0,59,34,25
2369,2025-08-08,2025-08-08T08:50:00Z,ORD,AUS,B737-800,Mainline,52.0,Medium,188,166,113.3,192,40,50,12,0.0,71,51,20
5577,2025-08-11,2025-08-11T07:00:00Z,ORD,JAX,ERJ-175,Express,39.0,Medium-Low,80,76,105.3,102,19,30,4,0.0,645,34,611
422,2025-08-03,2025-08-03T16:15:00Z,ORD,ATH,B787-10,Mainline,56.0,Medium,344,318,108.2,520,128,132,0,0.0,185,155,30
1041,2025-08-05,2025-08-05T15:35:00Z,ORD,GRR,B737-700,Mainline,52.0,Medium,125,126,99.2,156,5,63,20,0.0,57,43,14
1044,2025-08-15,2025-08-15T09:05:00Z,ORD,LAX,B757-300,Mainline,50.0,Medium,272,234,116.2,306,72,79,4,0.0,984,66,918
944,2025-08-08,2025-08-08T15:10:00Z,ORD,FRA,B787-10,Mainline,45.0,Medium,382,318,120.1,570,97,185,6,0.0,185,155,30
1485,2025-08-15,2025-08-15T13:40:00Z,ORD,SEA,B737-900,Mainline,53.0,Medium,197,179,110.1,278,70,69,0,0.0,74,56,18
4491,2025-08-01,2025-08-01T18:30:00Z,ORD,CAE,CRJ-550,Express,41.0,Medium,47,50,94.0,70,12,23,0,0.0,80,29,51
4173,2025-08-06,2025-08-06T13:55:00Z,ORD,AVL,CRJ-550,Express,36.0,Medium-Low,44,50,88.0,60,9,19,4,0.0,112,29,83
2008,2025-08-13,2025-08-13T11:02:00Z,ORD,MCO,B737-800,Mainline,41.0,Medium,229,166,138.0,191,47,48,1,0.0,1002,51,951
5538,2025-08-13,2025-08-13T18:25:00Z,ORD,HSV,CRJ-550,Express,37.0,Medium-Low,34,50,68.0,48,0,24,0,0.0,76,29,47
2424,2025-08-03,2025-08-03T18:20:00Z,ORD,RDU,B737-MAX9,Mainline,44.0,Medium,183,179,102.2,212,34,72,0,0.0,80,56,24
5140,2025-08-01,2025-08-01T21:05:00Z,ORD,CMX,CRJ-200,Express,61.0,Medium-High,66,50,132.0,106,17,29,14,0.0,55,29,26
4425,2025-08-11,2025-08-11T14:00:00Z,ORD,GRR,CRJ-550,Express,53.0,Medium,52,50,104.0,55,0,23,9,0.0,140,29,111
1830,2025-08-07,2025-08-07T13:12:00Z,ORD,DSM,A320-200,Mainline,56.0,Medium,177,150,118.0,173,10,74,5,0.0,58,46,12
4468,2025-08-04,2025-08-04T21:20:00Z,ORD,LEX,CRJ-550,Express,42.0,Medium,47,50,94.0,75,4,32,3,0.0,69,29,40
1811,2025-08-10,2025-08-10T12:45:00Z,ORD,MSP,B737-MAX8,Mainline,57.0,Medium,175,166,105.4,329,70,89,11,0.0,81,60,21
4518,2025-08-08,2025-08-08T16:47:00Z,ORD,STL,CRJ-550,Express,48.0,Medium,54,50,108.0,149,9,65,1,0.0,44,29,15
5309,2025-08-11,2025-08-11T20:05:00Z,ORD,FWA,ERJ-175,Express,57.0,Medium,34,76,44.7,38,2,17,0,0.0,-5,34,-39
5469,2025-08-02,2025-08-02T10:53:00Z,ORD,CVG,ERJ-175,Express,44.0,Medium,76,76,100.0,88,12,32,0,0.0,82,39,43
3468,2025-08-13,2025-08-13T11:50:00Z,ORD,BGR,ERJ-170,Express,55.0,Medium,73,70,104.3,114,9,48,0,0.0,47,34,13
4748,2025-08-08,2025-08-08T20:20:00Z,ORD,ATW,CRJ-200,Express,67.0,Medium-High,37,50,74.0,68,13,21,0,0.0,0,29,-29
2323,2025-08-06,2025-08-06T09:15:00Z,ORD,MCO,A321-2NX,Mainline,49.0,Medium,291,200,145.5,218,67,42,0,0.0,770,62,708
5819,2025-08-01,2025-08-01T09:00:00Z,ORD,DLH,CRJ-550,Express,43.0,Medium,60,50,120.0,54,7,20,0,0.0,55,29,26
2040,2025-08-04,2025-08-04T20:10:00Z,ORD,DEN,B737-900,Mainline,34.0,Medium-Low,183,179,102.2,193,46,50,1,0.0,95,56,39
1599,2025-08-15,2025-08-15T08:45:00Z,ORD,DEN,B777-2HD,Mainline,44.0,Medium,407,362,112.4,521,195,52,27,0.0,754,87,667
2370,2025-08-14,2025-08-14T14:28:00Z,ORD,BOS,B737-900,Mainline,38.0,Medium-Low,203,179,113.4,239,59,59,3,0.0,82,56,26
1495,2025-08-09,2025-08-09T21:10:00Z,ORD,TVC,B737-MAX9,Mainline,66.0,Medium-High,112,179,62.6,110,1,42,24,0.0,102,119,-17
2684,2025-08-13,2025-08-13T08:45:00Z,ORD,FCA,B737-900,Mainline,54.0,Medium,198,179,110.6,286,30,97,32,0.0,75,56,19
5470,2025-08-01,2025-08-01T08:40:00Z,ORD,GEG,ERJ-175,Express,51.0,Medium,85,76,111.8,112,21,31,8,0.0,49,34,15
1776,2025-08-13,2025-08-13T18:20:00Z,ORD,PHL,B737-800,Mainline,66.0,Medium-High,190,166,114.5,135,24,43,1,0.0,15,51,-36
1577,2025-08-12,2025-08-12T14:40:00Z,ORD,SFO,B757-300,Mainline,44.0,Medium,259,234,110.7,342,134,37,0,0.0,123,66,57
1842,2025-08-06,2025-08-06T20:20:00Z,ORD,SAN,A321-2NX,Mainline,53.0,Medium,218,200,109.0,204,52,50,0,0.0,85,62,23
5946,2025-08-14,2025-08-14T20:05:00Z,ORD,RAP,ERJ-175,Express,46.0,Medium,64,70,91.4,98,9,40,0,0.0,101,34,67
4482,2025-08-07,2025-08-07T15:35:00Z,ORD,TUL,CRJ-550,Express,42.0,Medium,43,50,86.0,47,3,19,3,0.0,45,29,16
600,2025-08-11,2025-08-11T14:40:00Z,ORD,LAS,B737-900,Mainline,36.0,Medium-Low,113,179,63.1,194,34,59,8,0.0,86,56,30
